Player ID,first_name,last_name,team,hits,avg,homeruns,atbats,obp,stolenbases,rbi
407845,Fernando,Rodney,Houston Astros,0,.---,0,0,.---,0,0
605446,Dereck,Rodriguez,Detroit Tigers,3,.094,0,32,.094,0,1
593958,Eduardo,Rodriguez,Boston Red Sox,0,.000,0,2,.000,0,0
622446,Jefry,Rodriguez,Cleveland Indians,3,.188,0,16,.188,0,1
593144,Richard,Rodriguez,Pittsburgh Pirates,0,.000,0,2,.000,0,0
500135,Ronny,Rodriguez,Milwaukee Brewers,42,.220,5,191,.256,2,20
446481,Sean,Rodriguez,Miami Marlins,25,.167,5,150,.277,1,19
475054,Chaz,Roe,Tampa Bay Rays,0,.---,0,0,.---,0,0
573124,Taylor,Rogers,Minnesota Twins,0,.---,0,0,.---,0,0
500743,Miguel,Rojas,Miami Marlins,123,.252,11,488,.297,6,53
607219,Sal,Romano,Cincinnati Reds,2,.056,0,36,.056,0,2
544836,Enny,Romero,Kansas City Royals,1,1.000,0,1,1.000,0,0
622864,Fernando,Romero,Minnesota Twins,0,.000,0,3,.000,0,0
461865,Andrew,Romine,Chicago White Sox,25,.210,0,119,.260,1,2
519222,Austin,Romine,Detroit Tigers,59,.244,10,242,.295,1,42
489265,Sergio,Romo,Minnesota Twins,0,.000,0,1,.000,0,0
444468,Hector,Rondon,Arizona Diamondbacks,0,.---,0,0,.---,0,0
602922,Jose,Rondon,Baltimore Orioles,23,.230,6,100,.280,2,14
642708,Amed,Rosario,New York Mets,142,.256,9,554,.295,24,51
592696,Eddie,Rosario,Minnesota Twins,161,.288,24,559,.323,8,77
600968,Randy,Rosario,Kansas City Royals,1,1.000,0,1,1.000,0,1
605452,Joe,Ross,Washington Nationals,0,.000,0,5,.000,0,0
573127,Zac,Rosscup,Colorado Rockies,0,.---,0,0,.---,0,0
607387,Ryan,Rua,Texas Rangers,27,.194,6,139,.221,3,12
607968,Drew,Rucinski,Miami Marlins,0,.000,0,4,.000,0,0
547004,Rio,Ruiz,Baltimore Orioles,1,.083,0,12,.267,0,0
543734,Chris,Rusin,Atlanta Braves,2,.500,0,4,.500,0,0
608365,Addison,Russell,Chicago Cubs,105,.250,5,420,.317,4,38
547943,Hyun Jin,Ryu,Toronto Blue Jays,7,.269,0,26,.321,0,2
594987,Casey,Sadler,Seattle Mariners,0,.000,0,2,.000,0,0
573135,Tyler,Saladino,Milwaukee Brewers,31,.246,5,126,.299,2,16
477569,Fernando,Salas,Philadelphia Phillies,0,.000,0,1,.000,0,0
519242,Chris,Sale,Boston Red Sox,0,.000,0,2,.000,0,0
457454,Jarrod,Saltalamacchia,Detroit Tigers,0,.000,0,7,.125,0,0
502188,Jeff,Samardzija,San Francisco Giants,1,.100,0,10,.100,0,0
592717,Aaron,Sanchez,Houston Astros,0,.000,0,1,.000,0,0
506703,Adrian,Sanchez,Washington Nationals,16,.276,0,58,.288,0,3
434671,Anibal,Sanchez,Washington Nationals,1,.024,0,41,.048,0,0
596142,Gary,Sanchez,New York Yankees,60,.186,18,323,.291,1,53
570560,Yolmer,Sanchez,Chicago White Sox,145,.242,8,600,.306,14,55
467055,Pablo,Sandoval,San Francisco Giants,57,.248,9,230,.310,0,40
593934,Miguel,Sano,Minnesota Twins,53,.199,13,266,.281,0,41
467793,Carlos,Santana,Cleveland Indians,128,.229,24,560,.352,2,86
542454,Danny,Santana,Texas Rangers,5,.179,0,28,.281,1,2
642701,Dennis,Santana,Los Angeles Dodgers,1,.500,0,2,.500,0,2
570267,Domingo,Santana,Cleveland Indians,56,.265,5,211,.328,1,20
650828,Edgar,Santana,Pittsburgh Pirates,0,.---,0,0,.---,0,0
623993,Anthony,Santander,Baltimore Orioles,20,.198,1,101,.250,1,6
502327,Hector,Santiago,Detroit Tigers,0,.000,0,4,.000,0,0
599683,Warwick,Saupold,Detroit Tigers,0,.000,0,1,.000,0,0
594988,Scott,Schebler,Atlanta Braves,97,.255,17,380,.337,4,49
453286,Max,Scherzer,Washington Nationals,17,.243,0,70,.274,1,6
572114,Ryan,Schimpf,Los Angeles Angels,1,.200,1,5,.429,0,2
570731,Jonathan,Schoop,Detroit Tigers,110,.233,21,473,.266,1,61
656941,Kyle,Schwarber,Chicago Cubs,102,.238,26,428,.356,4,61
582494,Robby,Scott,Arizona Diamondbacks,0,.---,0,0,.---,0,0
656945,Tanner,Scott,Baltimore Orioles,0,.---,0,0,.---,0,0
644428,Troy,Scribner,Arizona Diamondbacks,0,.000,0,1,.000,0,0
608369,Corey,Seager,Los Angeles Dodgers,27,.267,2,101,.348,0,13
572122,Kyle,Seager,Seattle Mariners,129,.221,22,583,.273,2,78
516416,Jean,Segura,Philadelphia Phillies,178,.304,10,586,.341,20,63
543760,Marcus,Semien,Oakland Athletics,161,.255,15,632,.318,14,70
622608,Antonio,Senzatela,Colorado Rockies,2,.083,0,24,.083,0,3
622663,Luis,Severino,New York Yankees,0,.000,0,5,.000,0,0
600474,Pedro,Severino,Baltimore Orioles,32,.168,2,190,.254,1,15
623149,Paul,Sewald,New York Mets,0,.000,0,5,.000,0,0
594992,Kevin,Shackelford,Cincinnati Reds,0,.000,0,1,.000,0,0
543766,Bryan,Shaw,Seattle Mariners,0,.---,0,0,.---,0,0
622046,Chris,Shaw,San Francisco Giants,10,.185,1,54,.274,1,7
543768,Travis,Shaw,Toronto Blue Jays,120,.241,32,498,.345,5,86
642073,James,Sherfy,Arizona Diamondbacks,0,.---,0,0,.---,0,0
595411,Ryan,Sherriff,Tampa Bay Rays,0,.---,0,0,.---,0,0
448306,James,Shields,Chicago White Sox,1,.167,0,6,.167,0,0
640463,Braden,Shipley,Kansas City Royals,0,.000,0,2,.000,0,0
592741,Chasen,Shreve,New York Mets,0,.000,0,1,.000,0,0
543776,JB,Shuck,Washington Nationals,25,.192,0,130,.255,2,4
642423,Magneuris,Sierra,Miami Marlins,28,.190,0,147,.222,3,7
592743,Andrelton,Simmons,Los Angeles Angels,162,.292,11,554,.337,10,75
