,,PLAYER,AB,R,H,HR,RBI,SO,SB,CS,BA
280,281,Chris Iannetta,299,36,67,11,36,87,0,0,.224
281, ,Max Kepler,532,80,119,20,58,96,4,5,.224
282, ,Jeimer Candelario,539,78,121,19,54,160,3,2,.224
283,284,Jay Bruce,319,31,71,9,37,75,2,3,.223
284,285,Robinson Chirinos,360,48,80,18,65,140,2,0,.222
285, ,Jake Lamb,207,34,46,6,31,65,1,2,.222
286, ,Johnny Field,221,28,49,9,21,72,4,0,.222
287, ,Victor Reyes,212,35,47,1,12,46,9,1,.222
288,289,Devin Mesoraco,244,24,54,11,33,52,0,0,.221
289, ,Kyle Seager,583,62,129,22,78,138,2,2,.221
290,291,Steven Souza Jr.,241,21,53,5,29,75,6,1,.220
291, ,James McCann,427,31,94,8,39,116,0,3,.220
292,293,Neil Walker,347,48,76,11,46,87,0,0,.219
293, ,Caleb Joseph,265,28,58,3,17,68,2,1,.219
294, ,Zack Cozart,224,29,49,5,18,42,0,0,.219
295, ,Eric Thames,247,41,54,16,37,97,7,0,.219
296,297,Kevin Kiermaier,332,44,72,7,29,91,10,5,.217
297,298,Delino DeShields,334,52,72,2,22,83,20,4,.216
298,299,Brian Dozier,553,81,119,21,72,129,12,3,.215
299, ,Nicky Delmonico,284,31,61,8,25,80,1,2,.215
300,301,Todd Frazier,408,54,87,18,59,112,9,4,.213
301,302,Jake Marisnick,213,34,45,10,28,84,6,2,.211
302,303,Kevin Plawecki,238,33,50,7,30,65,0,1,.210
303,304,Carlos Gomez,360,42,75,9,32,103,12,3,.208
304, ,Matt Joyce,207,34,43,7,15,53,0,2,.208
305, ,Kole Calhoun,491,71,102,19,57,133,6,2,.208
306,307,Christian Vazquez,251,24,52,3,16,41,4,1,.207
307, ,JaCoby Jones,429,54,89,11,34,142,13,5,.207
308,309,Chris Owings,281,34,58,4,22,75,11,4,.206
309, ,Dixon Machado,214,20,44,1,21,41,1,1,.206
310, ,Joey Gallo,500,82,103,40,92,207,3,4,.206
311,312,Jose Bautista,325,52,66,13,48,111,4,3,.203
312,313,John Ryan Murphy,208,19,42,9,24,71,0,0,.202
313, ,Mikie Mahtook,223,24,45,9,29,66,4,1,.202
314,315,Mike Zunino,373,37,75,20,44,150,0,0,.201
315, ,Jake Bauers,323,48,65,11,48,104,6,6,.201
316,317,Jace Peterson,210,21,42,3,28,58,13,3,.200
317,318,Luis Valbuena,266,23,53,9,33,100,3,0,.199
318, ,Miguel Sano,266,32,53,13,41,115,0,0,.199
319, ,Greg Bird,272,23,54,11,38,78,0,0,.199
320, ,Lewis Brinson,382,31,76,11,42,120,2,1,.199
321,322,Adam Duvall,384,48,75,15,61,117,2,2,.195
322,323,Russell Martin,289,37,56,10,25,82,0,3,.194
323,324,Jose Reyes,228,30,43,4,16,39,5,2,.189
324, ,Jarrod Dyson,206,29,39,2,12,34,16,3,.189
325,326,Logan Morrison,318,41,59,15,39,80,1,0,.186
326, ,Gary Sanchez,323,51,60,18,53,94,1,0,.186
327,328,Aaron Altherr,243,28,44,8,38,91,3,2,.181
328,329,Dexter Fowler,289,40,52,8,31,75,5,2,.180
329,330,Sandy Leon,265,30,47,5,22,75,1,0,.177
330,331,Chris Davis,470,40,79,16,49,192,2,0,.168
331,1,Mookie Betts,520,129,180,32,80,91,30,6,.346
332,2,J.D. Martinez,569,111,188,43,130,146,6,1,.330
333,3,Jeff McNeil,225,35,74,3,19,24,7,1,.329
334,4,Christian Yelich,574,118,187,36,110,135,22,4,.326
335,5,Jose Altuve,534,84,169,13,61,79,17,4,.316
336,6,Justin Turner,365,62,114,14,52,54,2,1,.312
337, ,Mike Trout,471,101,147,39,79,124,24,2,.312
338,8,Scooter Gennett,584,86,181,23,92,125,4,2,.310
339,9,Michael Brantley,570,89,176,17,76,60,12,3,.309
340, ,Freddie Freeman,618,94,191,23,98,132,10,3,.309
341,11,Lorenzo Cain,539,90,166,10,38,94,30,7,.308
342, ,Anthony Rendon,529,88,163,24,92,82,2,1,.308
343,13,Wilson Ramos,382,39,117,15,70,80,0,0,.306
344,14,Ben Zobrist,455,67,139,9,58,60,3,4,.305
345, ,Jose Martinez,534,64,163,17,83,104,0,3,.305
346,16,Jean Segura,586,91,178,10,63,69,20,11,.304
347, ,Whit Merrifield,632,88,192,12,60,114,45,10,.304
348,18,Robinson Cano,310,44,94,10,50,47,0,0,.303
349,19,Adam Eaton,319,55,96,5,33,64,9,1,.301
350,20,Corey Dickerson,504,65,151,13,55,80,8,3,.300
351, ,Joey Wendle,487,62,146,7,61,96,16,4,.300
352,22,Daniel Murphy,328,40,98,12,42,40,3,0,.299
353, ,Jesse Winker,281,38,84,7,43,46,0,0,.299
354,24,Nick Castellanos,620,88,185,23,89,151,2,1,.298
355,25,Nick Markakis,623,78,185,14,93,80,1,1,.297
356, ,Manny Machado,632,84,188,37,107,104,14,2,.297
357, ,Nolan Arenado,590,104,175,38,110,122,2,2,.297
358, ,Miguel Andujar,573,83,170,27,92,97,2,1,.297
359,29,David Freese,280,38,83,11,51,72,0,0,.296
360, ,Mallex Smith,480,65,142,2,40,98,40,12,.296
361,31,Matt Duffy,503,59,148,4,44,93,12,6,.294
362,32,David Peralta,560,75,164,30,87,124,4,0,.293
363, ,Ronald Acuna Jr.,433,78,127,26,64,123,16,5,.293
364,34,Andrelton Simmons,554,68,162,11,75,44,10,2,.292
365, ,Juan Soto,414,77,121,22,70,99,5,2,.292
366,36,Charlie Blackmon,626,119,182,29,70,134,12,4,.291
367, ,Trevor Story,598,88,174,37,108,168,27,6,.291
368, ,Yuli Gurriel,537,70,156,13,85,63,5,1,.291
369,39,Matt Kemp,462,62,134,21,85,115,0,0,.290
370, ,Paul Goldschmidt,593,95,172,33,83,173,7,4,.290
371, ,Javier Baez,606,101,176,34,111,167,21,9,.290
372, ,Andrew Benintendi,579,103,168,16,87,106,21,3,.290
373,43,Xander Bogaerts,513,72,148,23,103,102,8,2,.288
374, ,Eddie Rosario,559,87,161,24,77,104,8,2,.288
375, ,Jose Peraza,632,85,182,14,58,75,23,6,.288
376, ,Jorge Polanco,302,38,87,6,42,62,7,7,.288
377,47,Albert Almora Jr.,444,62,127,5,41,83,1,3,.286
378, ,Elias Diaz,252,33,72,10,34,40,0,1,.286
379, ,Alex Bregman,594,105,170,31,103,85,10,4,.286
380,50,Mitch Haniger,596,90,170,26,93,148,8,2,.285
381,51,Shohei Ohtani,326,59,93,22,61,102,10,4,.285
382,52,Joey Votto,503,67,143,12,67,101,2,0,.284
383, ,Steve Pearce,215,35,61,11,42,41,0,0,.284
384, ,Gerardo Parra,401,52,114,6,53,75,11,4,.284
385, ,Buster Posey,398,47,113,5,41,53,3,2,.284
386,56,Anthony Rizzo,566,74,160,25,101,80,6,4,.283
387, ,Eugenio Suarez,527,79,149,34,104,142,1,1,.283
388,58,Joe Mauer,486,64,137,6,48,86,0,1,.282
389,59,Adam Jones,580,54,163,15,63,93,7,1,.281
390, ,Lourdes Gurriel Jr.,249,30,70,11,35,59,1,2,.281
391,61,Melky Cabrera,250,28,70,6,39,38,1,1,.280
392, ,Marcell Ozuna,582,69,163,23,88,110,3,0,.280
393, ,Franmil Reyes,261,36,73,16,31,80,0,0,.280
394,64,Starlin Castro,593,76,165,12,54,124,6,4,.278
395, ,Aaron Judge,413,77,115,27,67,152,6,3,.278
396, ,Willy Adames,288,43,80,10,34,95,6,5,.278
397, ,Matt Chapman,547,100,152,24,68,146,1,2,.278
398,68,Starling Marte,559,81,155,20,72,109,33,14,.277
399, ,Brock Holt,321,41,89,7,46,73,7,7,.277
400, ,Francisco Lindor,661,129,183,38,92,107,25,10,.277
401, ,J.T. Realmuto,477,74,132,21,74,104,3,2,.277
402, ,Colin Moran,415,49,115,11,58,82,0,2,.277
403, ,Adam Frazier,318,52,88,10,35,53,1,3,.277
404,74,Carlos Gonzalez,463,71,128,16,64,113,5,2,.276
405, ,DJ LeMahieu,533,90,147,15,62,82,6,5,.276
406, ,Adalberto Mondesi,275,47,76,14,37,77,32,7,.276
407, ,Yairo Munoz,293,39,81,8,42,71,5,6,.276
408, ,Tyler White,210,27,58,12,42,49,0,1,.276
409,79,Tommy Pham,494,102,136,21,63,140,15,7,.275
410, ,Omar Narvaez,280,30,77,9,30,65,0,2,.275
411, ,David Fletcher,284,35,78,1,25,34,3,0,.275
412,82,Jesus Aguilar,492,80,135,35,108,143,0,0,.274
413,83,Adrian Beltre,433,49,118,15,65,96,1,0,.273
414, ,Robbie Grossman,396,50,108,5,48,83,0,1,.273
415, ,David Dahl,249,31,68,16,48,68,5,3,.273
416, ,Brian Anderson,590,87,161,11,65,129,2,4,.273
417,87,Eduardo Escobar,566,75,154,23,84,126,2,4,.272
418, ,Ben Gamel,257,37,70,1,19,61,7,3,.272
419, ,Kris Bryant,389,59,106,13,52,107,2,4,.272
420, ,Johan Camargo,464,63,126,19,76,108,1,1,.272
421,91,Kurt Suzuki,347,45,94,12,50,43,0,0,.271
422, ,Leury Garcia,258,23,70,4,32,69,12,1,.271
423, ,Trea Turner,664,103,180,19,73,132,43,9,.271
424, ,Gleyber Torres,431,54,117,24,77,122,6,2,.271
425,95,Jason Heyward,440,67,119,8,57,60,1,1,.270
426, ,Charlie Culberson,296,47,80,12,45,85,4,2,.270
427, ,Maikel Franco,433,48,117,22,68,62,1,0,.270
428, ,Jose Ramirez,578,110,156,39,105,80,34,6,.270
429,99,Jose Iglesias,432,43,116,5,48,47,15,6,.269
430,100,Jon Jay,527,74,141,3,40,95,4,3,.268
431,101,Dee Strange-Gordon,556,62,149,4,36,80,30,12,.268
432, ,Didi Gregorius,504,89,135,27,86,69,10,6,.268
433, ,Mitch Garver,302,38,81,7,45,72,0,0,.268
434,104,Jed Lowrie,596,78,159,23,99,128,0,0,.267
435, ,Wilmer Flores,386,43,103,11,51,42,0,0,.267
436, ,Yasiel Puig,405,60,108,23,63,87,15,5,.267
437, ,Stephen Piscotty,546,78,146,27,88,114,2,0,.267
